Название,Цена,Автор,Серия,Раздел,Издательство,ISBN,Возрастное ограничение,Год издания,Количество страниц,Переплет,Бумага,Формат,Вес
Альшер Лилия: Требуется приспешник,535 ₽,Лилия Альшер,Помощница злодея,Русское фэнтези,АСТ,978-5-17-167612-4,16+,2024,288,Твёрдый переплёт,газетная,130x206  мм,0.30  кг
Кретова Евгения Витальевна: Проклятая княжна,594 ₽,Евгения Кретова,Young Adult. Вкус страха. Мистические истории,Русское фэнтези,"Эксмо, Freedom",978-5-04-193806-2,18+,2024,384,Твёрдый переплёт,офсет,128x206  мм,0.36  кг
Мамлеева Наталья Ринатовна: Фея в Академии Черного дракона,552 ₽,Мамлеева Наталья Ринатовна,Дракмар. Фэнтези-миры Натальи Мамлеевой,Русское фэнтези,АСТ,978-5-17-167897-5,16+,2024,352,Твёрдый переплёт,газетная,130x205  мм,0.28  кг
Лунева Мария: Наваждение генерала драконов,662 ₽,Лунева Мария,Огни Литгорода. Лучшее романтическое фэнтези,Русское фэнтези,Эксмо,978-5-04-204791-6,16+,2024,448,Мягкий переплёт,газетная,125x200  мм,0.32  кг
Максимов Максим: Небо над моим домом,594 ₽,Максим Максимов,Макс Максимов. Фантастика от звезды YouTube. Новое оформление,Русское фэнтези,Эксмо,978-5-04-203598-2,16+,2024,352,Твёрдый переплёт,офсет,131x206  мм,0.35  кг
Серганова Татьяна Ю.: Травница. Книга 2,620 ₽,Татьяна Серганова,Магическая романтика Татьяны Сергановой,Русское фэнтези,Эксмо,978-5-04-200427-8,16+,2024,480,Твёрдый переплёт,газетная,128x205  мм,0.35  кг
Гельб Джек: Сброд,552 ₽,Гельб Джек,Young adult. Ориджиналы,Русское фэнтези,"Эксмо, Like Book",978-5-04-206863-8,18+,2024,336,Мягкий переплёт,Нет данных,136x210  мм,0.31  кг
Пашнина Ольга Олеговна: Вкусная магия,972 ₽,Ольга Пашнина,Романтическое фэнтези Ольги Пашниной,Русское фэнтези,Эксмо,978-5-04-206402-9,16+,2024,512,Твёрдый переплёт,газетная,130x206  мм,0.44  кг
Гончарова Галина Дмитриевна: Ветана. Дар исцеления,641 ₽,Галина Гончарова,Колдовские миры Галины Гончаровой. Новое оформление,Русское фэнтези,Эксмо,978-5-04-206893-5,16+,2024,480,Твёрдый переплёт,газетная,130x205  мм,0.28  кг
Мори Анна: Сломанный мир,600 ₽,Анна Мори,Сказания о магии Поднебесной,Русское фэнтези,АСТ,978-5-17-170227-4,18+,2024,416,Твёрдый переплёт,газетная,125x200  мм,0.01  кг
Платунова Анна Сергеевна: Сделка с джинном,516 ₽,Анна Платунова,Колдовские миры Анны Платуновой. Новое оформление,Русское фэнтези,Эксмо,978-5-04-198761-9,16+,2024,384,Твёрдый переплёт,газетная,125x200  мм,0.01  кг
Мэй: Империя грёз,663 ₽,Мэй,Нет данных,Русское фэнтези,Полынь,978-5-907124-63-9,16+,2025,296,Мягкий переплёт,Нет данных,Нет данных,0.01  кг
Рэй Даниэль Зеа: Сапфир,660 ₽,Даниэль Зеа Рэй,Young Adult. Повелители силы,Русское фэнтези,"Эксмо, Freedom",978-5-04-200652-4,18+,2025,384,Твёрдый переплёт,офсет,125x200  мм,0.01  кг
Косухина Наталья Викторовна: Дракон в ее лавке,558 ₽,Наталья Косухина,Звезды романтического фэнтези,Русское фэнтези,АСТ,978-5-17-162671-6,16+,2025,320,Твёрдый переплёт,газетная,Нет данных,0.01  кг
Романовская Ольга: Досье леди N,516 ₽,Ольга Романовская,Колдовские миры. Новое оформление,Русское фэнтези,Эксмо,978-5-04-206968-0,16+,2025,384,Твёрдый переплёт,Нет данных,125x200  мм,0.01  кг
Фрай Макс: Третья сторона,223 ₽,Макс Фрай,Миры Макса Фрая,Русское фэнтези,АСТ,978-5-17-126966-1,18+,2020,288,Твёрдый переплёт,офсет,130x207  мм,0.30  кг
Джейн Анна: Тайна черного дракона,509 ₽,Анна Джейн,Романы Анны Джейн,Русское фэнтези,CLEVER,978-5-00211-086-5,16+,2023,413,Твёрдый переплёт,Нет данных,135x208  мм,0.40  кг
Хоффман Рита: Мрачный Взвод. Двенадцать дней Коляды,705 ₽,Рита Хоффман,Red Violet. Темные миры,Русское фэнтези,МИФ,978-5-00214-399-3,16+,2024,416,Твёрдый переплёт,офсет,133x207  мм,0.43  кг
Хоффман Рита: Мрачный Взвод. Пробуждение Нави,705 ₽,Рита Хоффман,Red Violet. Темные миры,Русское фэнтези,МИФ,978-5-00214-418-1,16+,2024,448,Твёрдый переплёт,офсет,130x206  мм,0.46  кг
Блэк Анхель: Крестейр. Начало,679 ₽,Блэк Анхель,Хроники мрака. Темная фэнтези,Русское фэнтези,АСТ,978-5-17-160864-4,18+,2024,352,Твёрдый переплёт,газетная,145x215  мм,0.40  кг
Покусаева Мария: Чудовище,977 ₽,Мария Покусаева,Red Violet. Арт-новеллы,Русское фэнтези,МИФ,978-5-00214-531-7,16+,2024,112,Твёрдый переплёт,мелованная,153x222  мм,0.42  кг
Няннян Лин: Небесная собака. Спасение души несчастного. Том 2,832 ₽,Лин Няннян,Алый Клен. Российские хиты ориентального фэнтези,Русское фэнтези,Эксмо,978-5-04-202547-1,16+,2024,512,Твёрдый переплёт,офсет,145x220  мм,0.62  кг
"Ли Ринга: Ныряя в синеву небес, не забудь расправить крылья. Том 1",1 699 ₽,Ринга Ли,Ныряя в синеву небес,Русское фэнтези,МИФ,978-5-00214-837-0,16+,2024,672,Твёрдый переплёт,офсет,155x215  мм,0.96  кг
"Цвик Катерина: Все ведьмы – стервы, или Ректору больше (не) наливать",577 ₽,Катерина Цвик,Волшебная академия,Русское фэнтези,"АСТ, Жанры",978-5-17-166155-7,16+,2024,320,Твёрдый переплёт,газетная,130x205  мм,0.26  кг
Крейн Антонина: Шолох. Витражи лесной столицы,637 ₽,Антонина Крейн,Young Adult. Книжный бунт. Фантастика,Русское фэнтези,"Эксмо, Черным-бело, Редакция 1",978-5-04-199618-5,16+,2024,256,Твёрдый переплёт,Нет данных,130x205  мм,0.31  кг
Потехина Алина: Магия вернется в понедельник,509 ₽,Алина Потехина,Тайны Драконьего Министерства. Магический детектив,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-202179-4,16+,2024,480,Твёрдый переплёт,Нет данных,129x205  мм,0.40  кг
